"seq","aou","english_common_name","species_name"
3241,"07370","Mexican Chickadee","Poecile sclateri"
3244,"07410","Chestnut-backed Chickadee","Poecile rufescens"
3247,"07400","Boreal Chickadee","Poecile hudsonicus"
3250,"07390","Gray-headed Chickadee","Poecile cinctus"
3253,"07351","unid. Chickadee","Poecile sp."
3256,"07340","Bridled Titmouse","Baeolophus wollweberi"
3259,"07330","Oak Titmouse","Baeolophus inornatus"
3262,"07331","Juniper Titmouse","Baeolophus ridgwayi"
3265,"07332","unid. Oak Titmouse / Juniper Titmouse","Baeolophus inornatus / ridgwayi"
3268,"07310","Tufted Titmouse","Baeolophus bicolor"
3271,"07320","Black-crested Titmouse","Baeolophus atricristatus"
3274,"07315","unid. Tufted Titmouse / Black-crested Titmouse","Baeolophus bicolor / atricristatus"
3277,"07460","Verdin","Auriparus flaviceps"
3280,"07430","Bushtit","Psaltriparus minimus"
3283,"07280","Red-breasted Nuthatch","Sitta canadensis"
3286,"07270","White-breasted Nuthatch","Sitta carolinensis"
3289,"07300","Pygmy Nuthatch","Sitta pygmaea"
3292,"07290","Brown-headed Nuthatch","Sitta pusilla"
3295,"07260","Brown Creeper","Certhia americana"
3298,"16420","Band-backed Wren","Campylorhynchus zonatus"
3301,"16430","Gray-barred Wren","Campylorhynchus megalopterus"
3304,"16440","Giant Wren","Campylorhynchus chiapensis"
3307,"16450","Rufous-naped Wren","Campylorhynchus rufinucha"
3310,"16460","Spotted Wren","Campylorhynchus gularis"
3313,"16470","Boucard's Wren","Campylorhynchus jocosus"
3316,"16480","Yucatan Wren","Campylorhynchus yucatanicus"
3319,"07130","Cactus Wren","Campylorhynchus brunneicapillus"
3322,"07150","Rock Wren","Salpinctes obsoletus"
3325,"07170","Canyon Wren","Catherpes mexicanus"
3328,"16490","Sumichrast's Wren","Hylorchilus sumichrasti"
3331,"16500","Nava's Wren","Hylorchilus navai"
3334,"16580","Spot-breasted Wren","Thryothorus maculipectus"
3337,"16590","Rufous-and-white Wren","Thryothorus rufalbus"
3340,"16600","Sinaloa Wren","Thryothorus sinaloa"
3343,"16610","Banded Wren","Thryothorus pleurostictus"
3346,"07180","Carolina Wren","Thryothorus ludovicianus"
3349,"16620","Happy Wren","Thryothorus felix"
3352,"16640","Plain Wren","Thryothorus modestus"
3355,"07190","Bewick's Wren","Thryomanes bewickii"
3358,"07210","House Wren","Troglodytes aedon"
3361,"16650","Socorro Wren","Troglodytes sissonii"
3364,"16670","Clarion Wren","Troglodytes tanneri"
3367,"16680","Rufous-browed Wren","Troglodytes rufociliatus"
3370,"07221","Pacific Wren","Troglodytes pacificus"
3373,"07222","Winter Wren","Troglodytes hiemalis"
3376,"07220","unid. Pacific Wren / Winter Wren","Troglodytes pacificus / hiemalis"
3379,"07240","Sedge Wren","Cistothorus platensis"
3382,"07250","Marsh Wren","Cistothorus palustris"
3385,"16700","White-bellied Wren","Uropsila leucogastra"
3388,"16720","White-breasted Wood-Wren","Henicorhina leucosticta"
3391,"16730","Gray-breasted Wood-Wren","Henicorhina leucophrys"
3394,"16741","Nightingale Wren","Microcerculus philomela"
3397,"16770","Long-billed Gnatwren","Ramphocaenus melanurus"
3400,"07510","Blue-gray Gnatcatcher","Polioptila caerulea"
3403,"07530","California Gnatcatcher","Polioptila californica"
3406,"07520","Black-tailed Gnatcatcher","Polioptila melanura"
3409,"07531","Black-capped Gnatcatcher","Polioptila nigriceps"
3412,"16790","White-lored Gnatcatcher","Polioptila albiloris"
3415,"16800","Tropical Gnatcatcher","Polioptila plumbea"
3418,"07539","unid. Gnatcatcher","Polioptila sp."
3421,"07010","American Dipper","Cinclus mexicanus"
3427,"07261","Red-whiskered Bulbul","Pycnonotus jocosus"
3430,"07480","Golden-crowned Kinglet","Regulus satrapa"
3433,"07490","Ruby-crowned Kinglet","Regulus calendula"
3442,"07473","Wood Warbler","Phylloscopus sibilatrix"
3445,"07474","Dusky Warbler","Phylloscopus fuscatus"
3454,"07470","Arctic Warbler","Phylloscopus borealis"
3460,"07420","Wrentit","Chamaea fasciata"
3481,"07471","Middendorff's Grasshopper-Warbler","Locustella ochotensis"
3484,"07475","Lanceolated Warbler","Locustella lanceolata"
3487,"07730","Gray-streaked Flycatcher","Muscicapa griseisticta"
3496,"07720","Dark-sided Flycatcher","Muscicapa sibirica"
3505,"07641","Siberian Rubythroat","Luscinia calliope"
3508,"07640","Bluethroat","Luscinia svecica"
3517,"26320","Narcissus Flycatcher","Ficedula narcissina"
3520,"07710","Taiga Flycatcher","Ficedula albicilla"
3523,"07650","Northern Wheatear","Oenanthe oenanthe"
3529,"07660","Eastern Bluebird","Sialia sialis"
3532,"07670","Western Bluebird","Sialia mexicana"
3535,"07680","Mountain Bluebird","Sialia currucoides"
3538,"07540","Townsend's Solitaire","Myadestes townsendi"
3541,"16820","Brown-backed Solitaire","Myadestes occidentalis"
3544,"16870","Slate-colored Solitaire","Myadestes unicolor"
3559,"16890","Orange-billed Nightingale-Thrush","Catharus aurantiirostris"
3562,"16910","Russet Nightingale-Thrush","Catharus occidentalis"
3565,"16920","Ruddy-capped Nightingale-Thrush","Catharus frantzii"
3568,"16930","Black-headed Nightingale-Thrush","Catharus mexicanus"
3571,"16940","Spotted Nightingale-Thrush","Catharus dryas"
3574,"07560","Veery","Catharus fuscescens"
3577,"07570","Gray-cheeked Thrush","Catharus minimus"
3580,"07571","Bicknell's Thrush","Catharus bicknelli"
3583,"07580","Swainson's Thrush","Catharus ustulatus"
3586,"07590","Hermit Thrush","Catharus guttatus"
3589,"07550","Wood Thrush","Hylocichla mustelina"
3592,"07611","Eurasian Blackbird","Turdus merula"
3595,"07613","Eyebrowed Thrush","Turdus obscurus"
3598,"07614","Dusky Thrush","Turdus naumanni"
3601,"07612","Fieldfare","Turdus pilaris"
3604,"07600","Redwing","Turdus iliacus"
3610,"16960","Black Thrush","Turdus infuscatus"
3613,"16970","Mountain Thrush","Turdus plebejus"
3616,"07621","Clay-colored Thrush","Turdus grayi"
3619,"17020","White-throated Thrush","Turdus assimilis"
3622,"07622","Rufous-backed Robin","Turdus rufopalliatus"
3625,"17030","Rufous-collared Robin","Turdus rufitorques"
